# sky130 nfet_01v8 gm/ID Processed Lookup Table
# Corner: tt
# Temperature: 0C
# W = 2.0 um
# L = 2.88 um (2880 nm)
# Columns: gm/id [1/V]  gm/gds [V/V]  id/W [A/m]  ft [Hz]  Cgg/W [F/m]  Cgd/W [F/m]  Cgs/W [F/m]  Vov [V]
#         gm/id          gm/gds            id/W              ft           Cgg/W           Cgd/W           Cgs/W             Vov
    2.948303e+01    1.747936e+02    6.502735e-09    4.936475e+00    6.181180e-09    7.558890e-14    2.112799e-10   -5.751870e-01
    2.948267e+01    1.747914e+02    7.535590e-09    5.732740e+00    6.167965e-09    7.853870e-14    2.194329e-10   -5.701870e-01
    2.948226e+01    1.747891e+02    8.732485e-09    6.656916e+00    6.155250e-09    8.160970e-14    2.279926e-10   -5.651870e-01
    2.948184e+01    1.747866e+02    1.011946e-08    7.729421e+00    6.143065e-09    8.480740e-14    2.369822e-10   -5.601870e-01
    2.948138e+01    1.747839e+02    1.172670e-08    8.973946e+00    6.131410e-09    8.813765e-14    2.464259e-10   -5.551870e-01
    2.948090e+01    1.747810e+02    1.358918e-08    1.041790e+01    6.120315e-09    9.160645e-14    2.563495e-10   -5.501870e-01
    2.948036e+01    1.747778e+02    1.574743e-08    1.209306e+01    6.109790e-09    9.522020e-14    2.667789e-10   -5.451870e-01
    2.947979e+01    1.747744e+02    1.824840e-08    1.403620e+01    6.099860e-09    9.898565e-14    2.777438e-10   -5.401870e-01
    2.947917e+01    1.747707e+02    2.114651e-08    1.628989e+01    6.090540e-09    1.029098e-13    2.892742e-10   -5.351870e-01
    2.947850e+01    1.747668e+02    2.450481e-08    1.890342e+01    6.081860e-09    1.069999e-13    3.014013e-10   -5.301870e-01
    2.947779e+01    1.747626e+02    2.839633e-08    2.193380e+01    6.073840e-09    1.112639e-13    3.141585e-10   -5.251870e-01
    2.947703e+01    1.747581e+02    3.290574e-08    2.544702e+01    6.066505e-09    1.157099e-13    3.275803e-10   -5.201870e-01
    2.947621e+01    1.747532e+02    3.813110e-08    2.951939e+01    6.059875e-09    1.203462e-13    3.417033e-10   -5.151870e-01
    2.947532e+01    1.747480e+02    4.418604e-08    3.423907e+01    6.053990e-09    1.251820e-13    3.565655e-10   -5.101870e-01
    2.947434e+01    1.747422e+02    5.120225e-08    3.970812e+01    6.048865e-09    1.302267e-13    3.722069e-10   -5.051870e-01
    2.947333e+01    1.747362e+02    5.933220e-08    4.604437e+01    6.044540e-09    1.354899e-13    3.886694e-10   -5.001870e-01
    2.947222e+01    1.747296e+02    6.875270e-08    5.338395e+01    6.041045e-09    1.409822e-13    4.059967e-10   -4.951870e-01
    2.947103e+01    1.747226e+02    7.966850e-08    6.188411e+01    6.038415e-09    1.467143e-13    4.242343e-10   -4.901870e-01
    2.946976e+01    1.747150e+02    9.231680e-08    7.172644e+01    6.036680e-09    1.526975e-13    4.434299e-10   -4.851870e-01
    2.946837e+01    1.747069e+02    1.069725e-07    8.312043e+01    6.035880e-09    1.589440e-13    4.636331e-10   -4.801870e-01
    2.946689e+01    1.746981e+02    1.239539e-07    9.630788e+01    6.036050e-09    1.654660e-13    4.848956e-10   -4.751870e-01
    2.946530e+01    1.746887e+02    1.436300e-07    1.115675e+02    6.037240e-09    1.722767e-13    5.072710e-10   -4.701870e-01
    2.946358e+01    1.746785e+02    1.664280e-07    1.292208e+02    6.039480e-09    1.793899e-13    5.308150e-10   -4.651870e-01
    2.946173e+01    1.746676e+02    1.928429e-07    1.496382e+02    6.042820e-09    1.868198e-13    5.555855e-10   -4.601870e-01
    2.945974e+01    1.746558e+02    2.234482e-07    1.732462e+02    6.047310e-09    1.945817e-13    5.816425e-10   -4.551870e-01
    2.945761e+01    1.746433e+02    2.589081e-07    2.005366e+02    6.052985e-09    2.026911e-13    6.090475e-10   -4.501870e-01
    2.945531e+01    1.746298e+02    2.999919e-07    2.320747e+02    6.059900e-09    2.111648e-13    6.378645e-10   -4.451870e-01
    2.945284e+01    1.746151e+02    3.475908e-07    2.685112e+02    6.068105e-09    2.200198e-13    6.681600e-10   -4.401870e-01
    2.945018e+01    1.745995e+02    4.027369e-07    3.105943e+02    6.077655e-09    2.292744e-13    7.000005e-10   -4.351870e-01
    2.944732e+01    1.745826e+02    4.666257e-07    3.591844e+02    6.088595e-09    2.389474e-13    7.334565e-10   -4.301870e-01
    2.944424e+01    1.745645e+02    5.406415e-07    4.152691e+02    6.100990e-09    2.490587e-13    7.685990e-10   -4.251870e-01
    2.944095e+01    1.745450e+02    6.263875e-07    4.799839e+02    6.114885e-09    2.596287e-13    8.055005e-10   -4.201870e-01
    2.943737e+01    1.745240e+02    7.257210e-07    5.546306e+02    6.130345e-09    2.706793e-13    8.442365e-10   -4.151870e-01
    2.943356e+01    1.745015e+02    8.407905e-07    6.407035e+02    6.147430e-09    2.822328e-13    8.848820e-10   -4.101870e-01
    2.942944e+01    1.744773e+02    9.740865e-07    7.399161e+02    6.166195e-09    2.943130e-13    9.275145e-10   -4.051870e-01
    2.942501e+01    1.744513e+02    1.128491e-06    8.542319e+02    6.186700e-09    3.069442e-13    9.722115e-10   -4.001870e-01
    2.942026e+01    1.744234e+02    1.307340e-06    9.858998e+02    6.209010e-09    3.201522e-13    1.019053e-09   -3.951870e-01
    2.941514e+01    1.743933e+02    1.514497e-06    1.137495e+03    6.233185e-09    3.339638e-13    1.068117e-09   -3.901870e-01
    2.940965e+01    1.743612e+02    1.754433e-06    1.311963e+03    6.259290e-09    3.484067e-13    1.119484e-09   -3.851870e-01
    2.940373e+01    1.743264e+02    2.032322e-06    1.512673e+03    6.287385e-09    3.635100e-13    1.173234e-09   -3.801870e-01
    2.939738e+01    1.742893e+02    2.354156e-06    1.743477e+03    6.317535e-09    3.793039e-13    1.229447e-09   -3.751870e-01
    2.939054e+01    1.742493e+02    2.726864e-06    2.008774e+03    6.349800e-09    3.958199e-13    1.288203e-09   -3.701870e-01
    2.938321e+01    1.742065e+02    3.158466e-06    2.313589e+03    6.384245e-09    4.130907e-13    1.349577e-09   -3.651870e-01
    2.937534e+01    1.741605e+02    3.658244e-06    2.663656e+03    6.420925e-09    4.311502e-13    1.413649e-09   -3.601870e-01
    2.936687e+01    1.741112e+02    4.236931e-06    3.065510e+03    6.459910e-09    4.500339e-13    1.480493e-09   -3.551870e-01
    2.935778e+01    1.740582e+02    4.906942e-06    3.526609e+03    6.501250e-09    4.697784e-13    1.550183e-09   -3.501870e-01
    2.934800e+01    1.740014e+02    5.682640e-06    4.055450e+03    6.545000e-09    4.904220e-13    1.622790e-09   -3.451870e-01
    2.933752e+01    1.739405e+02    6.580625e-06    4.661702e+03    6.591225e-09    5.120040e-13    1.698381e-09   -3.401870e-01
    2.932626e+01    1.738753e+02    7.620100e-06    5.356380e+03    6.639970e-09    5.345655e-13    1.777023e-09   -3.351870e-01
    2.931418e+01    1.738054e+02    8.823255e-06    6.152011e+03    6.691285e-09    5.581490e-13    1.858775e-09   -3.301870e-01
    2.930121e+01    1.737306e+02    1.021574e-05    7.062841e+03    6.745220e-09    5.827985e-13    1.943694e-09   -3.251870e-01
    2.928729e+01    1.736504e+02    1.182720e-05    8.105067e+03    6.801810e-09    6.085595e-13    2.031832e-09   -3.201870e-01
    2.927237e+01    1.735647e+02    1.369186e-05    9.297073e+03    6.861105e-09    6.354795e-13    2.123236e-09   -3.151870e-01
    2.925637e+01    1.734729e+02    1.584927e-05    1.065975e+04    6.923135e-09    6.636065e-13    2.217949e-09   -3.101870e-01
    2.923922e+01    1.733749e+02    1.834511e-05    1.221681e+04    6.987925e-09    6.929915e-13    2.316004e-09   -3.051870e-01
    2.922085e+01    1.732701e+02    2.123208e-05    1.399515e+04    7.055505e-09    7.236865e-13    2.417430e-09   -3.001870e-01
    2.920115e+01    1.731582e+02    2.457106e-05    1.602524e+04    7.125895e-09    7.557445e-13    2.522250e-09   -2.951870e-01
    2.918006e+01    1.730388e+02    2.843221e-05    1.834164e+04    7.199110e-09    7.892215e-13    2.630476e-09   -2.901870e-01
    2.915750e+01    1.729115e+02    3.289653e-05    2.098351e+04    7.275155e-09    8.241750e-13    2.742117e-09   -2.851870e-01
    2.913334e+01    1.727757e+02    3.805737e-05    2.399517e+04    7.354030e-09    8.606630e-13    2.857170e-09   -2.801870e-01
    2.910752e+01    1.726312e+02    4.402237e-05    2.742678e+04    7.435735e-09    8.987465e-13    2.975625e-09   -2.751870e-01
    2.907991e+01    1.724774e+02    5.091550e-05    3.133504e+04    7.520260e-09    9.384880e-13    3.097463e-09   -2.701870e-01
    2.905042e+01    1.723141e+02    5.887955e-05    3.578413e+04    7.607580e-09    9.799520e-13    3.222657e-09   -2.651870e-01
    2.901893e+01    1.721406e+02    6.807895e-05    4.084652e+04    7.697670e-09    1.023205e-12    3.351170e-09   -2.601870e-01
    2.898533e+01    1.719565e+02    7.870285e-05    4.660403e+04    7.790500e-09    1.068314e-12    3.482956e-09   -2.551870e-01
    2.894949e+01    1.717617e+02    9.096890e-05    5.314905e+04    7.886030e-09    1.115348e-12    3.617957e-09   -2.501870e-01
    2.891130e+01    1.715555e+02    1.051272e-04    6.058579e+04    7.984210e-09    1.164381e-12    3.756111e-09   -2.451870e-01
    2.887065e+01    1.713377e+02    1.214650e-04    6.903173e+04    8.084985e-09    1.215486e-12    3.897342e-09   -2.401870e-01
    2.882739e+01    1.711080e+02    1.403126e-04    7.861925e+04    8.188290e-09    1.268738e-12    4.041565e-09   -2.351870e-01
    2.878141e+01    1.708662e+02    1.620486e-04    8.949741e+04    8.294055e-09    1.324215e-12    4.188688e-09   -2.301870e-01
    2.873259e+01    1.706121e+02    1.871072e-04    1.018339e+05    8.402205e-09    1.381997e-12    4.338608e-09   -2.251870e-01
    2.868079e+01    1.703457e+02    2.159867e-04    1.158173e+05    8.512650e-09    1.442164e-12    4.491214e-09   -2.201870e-01
    2.862590e+01    1.700670e+02    2.492571e-04    1.316596e+05    8.625305e-09    1.504802e-12    4.646386e-09   -2.151870e-01
    2.856781e+01    1.697762e+02    2.875712e-04    1.495987e+05    8.740065e-09    1.569995e-12    4.803996e-09   -2.101870e-01
    2.850639e+01    1.694735e+02    3.316756e-04    1.699017e+05    8.856830e-09    1.637832e-12    4.963909e-09   -2.051870e-01
    2.844157e+01    1.691596e+02    3.824236e-04    1.928680e+05    8.975490e-09    1.708402e-12    5.125985e-09   -2.001870e-01
    2.837324e+01    1.688350e+02    4.407894e-04    2.188333e+05    9.095925e-09    1.781799e-12    5.290070e-09   -1.951870e-01
